id,name,shortDescription,tier,locationLon,locationLat,xps,Visits,Likes,Dislikes,Bookmarks,main_image_path,image_path_local,image_exists,categories_list,tags_list,engagement_score,engagement_label
002b3c1f-37f0-4d36-84d4-2d7132f83fe7,Casa-Museo de la Inquisición de Garganta la Olla,¡Visita la Casa-Museo de la Inquisición! Un viaje escalofriante al pasado oscuro del Santo Oficio en un lugar auténtico.,1,-5.776668800000039,40.1112793,1000.0,10010.0,865.0,3099.0,118.0,data_main/002b3c1f-37f0-4d36-84d4-2d7132f83fe7/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\002b3c1f-37f0-4d36-84d4-2d7132f83fe7\main.jpg,True,"['Cultura', 'Historia', 'Misterio', 'Patrimonio']","['Edificios', 'Inquisición', 'Instalación', 'Museos', 'brujas']",17.349719354729565,0
005fe23a-7f9e-4a57-a24a-1e9a6f1c1702,Real Basílica de San Francisco el Grande,"La Real Basílica de San Francisco el Grande, joya del neoclásico madrileño, impresiona con su cúpula monumental y su vasto patrimonio artístico, un testamento al esplendor de siglos pasados.",2,-3.7144721714750144,40.41045692716875,250.0,10011.0,8384.0,136.0,2275.0,data_main/005fe23a-7f9e-4a57-a24a-1e9a6f1c1702/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\005fe23a-7f9e-4a57-a24a-1e9a6f1c1702\main.jpg,True,"['Arquitectura', 'Patrimonio']",['s.XVIII'],30.91165292631685,1
00761a42-1b02-42f3-b2b2-211ffd985118,Puerta de Toledo,¡Visita la Puerta de Toledo! Un arco triunfal que narra la historia y evolución de Madrid con majestuosa arquitectura.,1,-3.711619974229129,40.40671367192122,800.0,10006.0,8359.0,146.0,2151.0,data_main/00761a42-1b02-42f3-b2b2-211ffd985118/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\00761a42-1b02-42f3-b2b2-211ffd985118\main.jpg,True,"['Arquitectura', 'Cultura', 'Historia']","['Arco de triunfo', 'Arquitectura neoclásica', 'Centro', 'Cultura', 'Embajadores', 'Guerra de la independencia', 'Historia', 'Madrid', 'Monumento', 'Puerta, arco triunfal', 'Restauración', 'Símbolo', 'Urbanismo']",30.723060699714722,1
0089bb20-c132-496c-b215-1986fcfa9d4b,Cuesta de los ciegos,"La Cuesta de los Ciegos es una escalera empedrada y encantada, un recoveco histórico en el corazón de Madrid que conecta el barrio de La Latina con los jardines de Las Vistillas.",3,-3.714566685108879,40.41298439281315,150.0,10007.0,8398.0,137.0,2487.0,data_main/0089bb20-c132-496c-b215-1986fcfa9d4b/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\0089bb20-c132-496c-b215-1986fcfa9d4b\main.jpg,True,"['Arquitectura', 'Historia']",[],31.08573609584888,1
00f483bf-a5a2-4009-bc67-b9f3f2e73488,Escultura de AENA,"Admira la Escultura AENA, un símbolo de modernidad en Madrid, reflejando su rica herencia aeronáutica y arquitectónica.",2,-3.65262452151644,40.45075556104791,600.0,10010.0,353.0,3901.0,82.0,data_main/00f483bf-a5a2-4009-bc67-b9f3f2e73488/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\00f483bf-a5a2-4009-bc67-b9f3f2e73488\main.jpg,True,"['Arquitectura', 'Escultura', 'Historia']","['Aeronáutica', 'Arquitectura moderna', 'Arte', 'Ciudad lineal', 'Cultura', 'Escultura', 'Escultura conceptual o abstracta', 'Historia', 'Madrid', 'Progreso', 'San juan bautista', 'Transformación urbana', 'Urbanismo']",14.60989046253256,0
00fa60a5-e811-4dc6-9c95-7c1938678277,Museo de Historia de Madrid,Descubre el Museo de Historia de Madrid: un viaje fascinante por la historia y cultura de la capital española.,1,-3.700926972454831,40.4257331392528,900.0,10014.0,2745.0,1210.0,481.0,data_main/00fa60a5-e811-4dc6-9c95-7c1938678277/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\00fa60a5-e811-4dc6-9c95-7c1938678277\main.jpg,True,"['Cultura', 'Historia', 'Patrimonio']","['Arquitectura barroca', 'Arte', 'Cultura', 'Educación', 'Exposiciones', 'Historia', 'Madrid', 'Museo', 'Patrimonio', 'Restauración']",23.39544746922892,1
010e40bf-ec41-4494-a670-00af7f40ebbd,El Altar 4 de La Venta,¡Explora el Altar 4 de La Venta! Un enigmático legado olmeca que conecta tierra y submundo. Descubre su historia milenaria.,1,-92.93376,18.0017922,1000.0,10012.0,147.0,4000.0,112.0,data_main/010e40bf-ec41-4494-a670-00af7f40ebbd/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\010e40bf-ec41-4494-a670-00af7f40ebbd\main.jpg,True,"['Escultura', 'Historia', 'Misterio', 'Patrimonio']","['Altar', 'Museos', 'Olmecas']",13.457810458022626,0
0123a69b-13ac-4b65-a5d5-71a95560cff5,Instituto Geológico y Minero de España,"El Instituto Geológico y Minero de España, situado en la calle de Ríos Rosas en Madrid, es un centro de investigación científica de referencia en geología.",2,-3.699693697942533,40.44204451855193,250.0,10015.0,3154.0,874.0,595.0,data_main/0123a69b-13ac-4b65-a5d5-71a95560cff5/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\0123a69b-13ac-4b65-a5d5-71a95560cff5\main.jpg,True,"['Ciencia', 'Patrimonio']",[],24.42272977105868,1
01b8d584-4453-4151-bce3-431c60814662,El yacimiento de Valencina de la Concepción,"¡Explora Valencina de la Concepción! Descubre herramientas prehistóricas de cristal, un enigma arqueológico con fines rituales.",1,-6.064495999999963,37.4127852,1000.0,10015.0,834.0,3195.0,112.0,data_main/01b8d584-4453-4151-bce3-431c60814662/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\01b8d584-4453-4151-bce3-431c60814662\main.jpg,True,"['Cultura', 'Historia', 'Misterio', 'Patrimonio']","['Daga', 'Prehistoria', 'Yacimientos', 'herramientas']",17.142968553575198,0
01caa1f2-b036-4e99-add1-c9a5ae3b8dea,"Escultura ""Fortuna""",¡Descubre la Fortuna en Madrid! Un edificio monumental con esculturas simbólicas que celebran la abundancia y la historia de la lotería.,2,-3.712595448820414,40.44420091117868,700.0,10006.0,1033.0,9869.0,349.0,data_main/01caa1f2-b036-4e99-add1-c9a5ae3b8dea/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\01caa1f2-b036-4e99-add1-c9a5ae3b8dea\main.jpg,True,"['Arquitectura', 'Escultura', 'Historia']","['Arquitectura monumentalista', 'Arte', 'Chamberi', 'Cultura', 'Escultura simbólica', 'Grupo escultórico', 'Historia', 'Instituciones', 'Lotería', 'Madrid', 'Prosperidad', 'Siglo xx', 'Vallehermoso']",18.703751318448752,0
