id,name,shortDescription,tier,locationLon,locationLat,xps,Visits,Likes,Dislikes,Bookmarks,main_image_path,image_path_local,image_exists,categories_list,tags_list,engagement_score,engagement_label,num_categories,num_tags
6340507e-751f-4f51-a4d5-bf58bea851bf,Monumento a Andrés Bello,¡Visita el Monumento a Andrés Bello! Un tributo cultural en Madrid que celebra el legado del ilustre erudito venezolano.,2,-3.7142697712670816,40.46325799880778,700.0,10013.0,156.0,3209.0,125.0,data_main/6340507e-751f-4f51-a4d5-bf58bea851bf/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\6340507e-751f-4f51-a4d5-bf58bea851bf\main.jpg,True,"['Cultura', 'Escultura', 'Historia']","['Andrés bello', 'Conexión cultural', 'Cultura', 'Distrito', 'Escultura', 'Estatua', 'Historia', 'Idioma', 'Legado', 'Madrid', 'Monumento', 'Venezuela']",14.013964056697983,0,3,12
f5f9231b-8cdd-4a86-a9b1-faebc8c2de90,Observatorio Astronómico de Madrid,¡Descubre el Observatorio Astronómico! Admira su arquitectura neoclásica y sumérgete en la historia de la ciencia en Madrid.,1,-3.688451667028575,40.40951154860526,900.0,10010.0,504.0,3339.0,97.0,data_main/f5f9231b-8cdd-4a86-a9b1-faebc8c2de90/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\f5f9231b-8cdd-4a86-a9b1-faebc8c2de90\main.jpg,True,"['Arquitectura', 'Ciencia', 'Historia']","['Arquitectura neoclásica', 'Astronomía', 'Ciencia', 'Historia', 'Juan de Villanueva', 'Madrid', 'Parque del Retiro', 'Patrimonio', 'Premio Nacional de Restauración', 'Restauración']",15.808185671775988,0,3,10
3061d123-284d-4af4-b0f7-2dd14c07de6f,Hórreos da Merca,"¡Visita los Hórreos da Merca! Descubre 34 joyas del románico rural gallego, guardianes de cosechas y tradición.",1,-7.904027777777778,42.221944444444446,1000.0,10009.0,2471.0,989.0,648.0,data_main/3061d123-284d-4af4-b0f7-2dd14c07de6f/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\3061d123-284d-4af4-b0f7-2dd14c07de6f\main.jpg,True,"['Arquitectura', 'Cultura', 'Patrimonio']","['A Merca', 'Agricultura', 'Arquitectura rural', 'Conservación', 'Cultura', 'Galicia', 'Hórreos', 'Patrimonio', 'Románico', 'Tradición']",23.98156109551202,1,3,10
0c533115-a2cf-4933-8b08-ec4621b33eb1,Puerta de Granada del Retiro,"¡Descubre la Puerta de Granada! Una nueva entrada al Retiro, preservando su belleza y accesibilidad para el futuro.",3,-3.676909763532325,40.41231852130818,500.0,10003.0,795.0,2755.0,65.0,data_main/0c533115-a2cf-4933-8b08-ec4621b33eb1/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\0c533115-a2cf-4933-8b08-ec4621b33eb1\main.jpg,True,"['Arquitectura', 'Cultura', 'Historia']","['Accesibilidad', 'Arquitectura', 'Construcción reciente', 'Cultura', 'Espacio verde', 'Historia', 'Integración', 'Jerónimos', 'Madrid', 'Parque del retiro', 'Preservación', 'Puerta, arco triunfal', 'Retiro']",16.119657296607443,0,3,13
1947c8c3-b561-4769-a4ed-cec568719fbb,Estatua de Bárbara de Braganza,"Admira la estatua de Bárbara de Braganza, símbolo de amor por la cultura y legado histórico en Madrid.",1,-3.6926938182485287,40.425189046340655,800.0,10011.0,423.0,3031.0,67.0,data_main/1947c8c3-b561-4769-a4ed-cec568719fbb/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\1947c8c3-b561-4769-a4ed-cec568719fbb\main.jpg,True,"['Cultura', 'Escultura', 'Historia']","['Arte', 'Centro', 'Cultura', 'Escultura', 'Estatua', 'Historia', 'Justicia', 'Legado', 'Madrid', 'Monasterio', 'Música', 'Patrocinio', 'Realeza']",14.824389487191784,0,3,13
26214703-b49b-418b-a5df-da53c68e5508,El Búnker-42,¡Explora El Búnker-42! Un museo subterráneo de la Guerra Fría en Moscú. Descubre secretos soviéticos bajo tierra.,1,37.649326799999926,55.74173740000001,1000.0,10008.0,937.0,2702.0,182.0,data_main/26214703-b49b-418b-a5df-da53c68e5508/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\26214703-b49b-418b-a5df-da53c68e5508\main.jpg,True,"['Ciencia', 'Cultura', 'Historia', 'Misterio']","['Búnker', 'Guerra Fría', 'Subterráneos']",18.5071646492236,0,4,3
138c30a3-5b7b-4354-a834-f3ae5126c050,Monumento de Santa Rosa de Lima,"Descubre Santa Rosa de Lima en Vista Alegre, un oasis de historia y espiritualidad en el corazón de Madrid.",2,-3.737400954732419,40.38465108691511,600.0,10011.0,23578.0,344.0,6475.0,data_main/138c30a3-5b7b-4354-a834-f3ae5126c050/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\138c30a3-5b7b-4354-a834-f3ae5126c050\main.jpg,True,"['Arquitectura', 'Cultura', 'Historia']","['Arquitectura', 'Carabanchel', 'Educación', 'Esculturas religiosas', 'Espiritualidad', 'Estatua', 'Herencia', 'Historia', 'Jardines', 'Madrid', 'Puerta bonita', 'Reflexión', 'Transformación cultural']",34.147280654443705,1,3,13
851ccb95-d62a-43cf-b87d-d0b66f796caf,Monumento de la Central Eléctrica de Pacífico,¡Descubre la Central Eléctrica de Pacífico! Admira la arquitectura de Antonio Palacios y explora la historia del metro madrileño.,2,-3.67446882338924,40.40400482713434,600.0,10023.0,7799.0,65.0,2390.0,data_main/851ccb95-d62a-43cf-b87d-d0b66f796caf/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\851ccb95-d62a-43cf-b87d-d0b66f796caf\main.jpg,True,"['Arquitectura', 'Historia', 'Patrimonio']","['Arquitectura', 'Centro de interpretación', 'Historia industrial', 'Ingeniería', 'Madrid', 'Modernismo secesionista', 'Neomudéjar', 'Patrimonio', 'Restauración', 'Turismo']",31.59622159238956,1,3,10
be097d95-04c2-45cd-9c5a-9af3fc221252,Lucifer en el Capitolio de La Habana,"Descubre ""El Ángel Caído"" en el Capitolio de La Habana, una rara y fascinante escultura de Lucifer en plena rebelión.",1,-82.358963,23.135541,1000.0,10017.0,152.0,3072.0,62.0,data_main/be097d95-04c2-45cd-9c5a-9af3fc221252/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\be097d95-04c2-45cd-9c5a-9af3fc221252\main.jpg,True,"['Cultura', 'Escultura', 'Historia', 'Misterio']","['Capitolio', 'Estatuas', 'Lucifer', 'Siglo XIX']",12.619770421916842,0,4,4
ad68c5ed-16b7-4e70-89cc-b52751e2445e,Monumento al Almirante Miguel Grau,"Visita el busto de Miguel Grau en Madrid, un homenaje a la valentía peruana y la herencia hispanoamericana.",2,-3.6926282629724767,40.47967581753548,600.0,10022.0,7997.0,72.0,2331.0,data_main/ad68c5ed-16b7-4e70-89cc-b52751e2445e/main.jpg,C:\Users\Alcazar\Documents\Deep-Learning\data_main\ad68c5ed-16b7-4e70-89cc-b52751e2445e\main.jpg,True,"['Cultura', 'Historia', 'Patrimonio']","['Conmemoración', 'Cultura hispanoamericana', 'Estatua', 'Fuencarral-el pardo', 'Guerra del pacífico', 'Historia', 'Héroe', 'La paz', 'Madrid', 'Memoria histórica', 'Monumento', 'Parque', 'Relaciones internacionales']",31.495556665362116,1,3,13
